Detailed Transcription of: leo.mp3
==================================================

[0.0s - 2.0s]  Yo, what's up?
[289.1s - 294.9s]  Uh, definitely a factor, but yeah, obviously you can't control it. I try to ignore it sometimes
[295.0s - 297.8s]  But yeah, it's like factor and then um
[298.5s - 303.1s]  Do you think like things teammates say having effect on your confidence or they get in your head ever?
[304.0s - 306.0s]  um
[307.7s - 309.7s]  Kind of I would say like
[311.3s - 314.6s]  I try not what effect me, but it definitely happens sometimes like
[315.3s - 318.9s]  I'll mess up and someone will say something and I'll just like get like, oh shit. Yeah
[319.7s - 321.7s]  but yeah, and
[323.2s - 329.2s]  Also with like playing time do you think that sometimes you don't know why you're not playing or
[329.6s - 333.7s]  Or you feel like no, I get why I'm not playing. I get why I will play and
[334.6s - 338.8s]  I think the coaches are doing their best their ability to play they want to play and they also have
[339.6s - 342.2s]  They have a system that works right now with
[343.2s - 346.4s]  The whatever death lineup and that has just been
[347.2s - 349.2s]  very successful and I would say
[350.4s - 352.6s]  Being in this role as like a center has like
[353.6s - 355.6s]  changed my ability
[355.9s - 358.4s]  But in what sense were you playing like a guard?
[359.6s - 361.6s]  I was playing like a small forward
[361.6s - 366.1s]  Hmm, but even that if I was playing a small forward doesn't like matter not
[367.2s - 369.6s]  I don't know they just have a system that works. I'm not part of that
[370.0s - 372.0s]  Hmm
[374.3s - 376.3s]  So
[378.8s - 381.5s]  Okay, so talk a little bit more like specifically
[382.3s - 388.1s]  Um, can you tell me like the can you walk me through the last time you got frustrated with yourself um during a game
[389.4s - 392.2s]  Do you remember any uh during a game?
[395.0s - 399.6s]  I'll just be like little stuff for like I'll be in the paint and like
[399.7s - 402.8s]  It'll be Henry or Jacob or we're the point card is the
[403.6s - 408.4s]  Passing the paint. I've like funneled ball or like okay, it tangled up and then
[409.2s - 412.9s]  You're like result result in an eternal from now be like oh shit and then like
[413.7s - 415.5s]  Me like let me down my teammates. I'll get
[416.0s - 418.0s]  frustrated with myself. Okay, and then
[418.8s - 421.3s]  Yeah, and like when that happens
[422.1s - 428.8s]  Do I know you get frustrated with yourself, but after that do you tend to try harder? Do you slow down or do like
[429.2s - 432.7s]  What does that do? I'll try harder, but at the same time I can't
[434.0s - 438.2s]  lose the treasure but I also just kind of getting down myself as well. I see
[439.0s - 441.5s]  And in terms of like have you ever had any
[442.3s - 448.5s]  Solutions or anything that's helped you would whether it be a teammate or a mentor or yourself like what have you done to combat?
[450.2s - 452.5s]  Uh, I think Sully has been a great
[453.4s - 455.2s]  Uh hope with that just like
[455.7s - 460.5s]  How do you met next shot mentality and giving yourself a little more grace not being as
[460.5s - 463.1s]  far as hard on yourself like as much as you want to like
[464.3s - 466.5s]  Uh do everything perfect you're gonna make mistakes
[467.2s - 469.2s]  Yeah, that's really good and
[470.8s - 476.8s]  So do you feel like comfortable talking to Sully? Is that something you've done you've talked to him about yeah, yeah, okay
[478.1s - 479.3s]  and
[479.4s - 485.0s]  Have you ever talked with any of the other coaches or do you feel like like I feel like I can talk to Sully because
[485.6s - 489.6s]  He almost feels like in between a coach and like a player if that makes sense
[489.9s - 496.0s]  He feels more my level because like he knows like him. He's a little bit more of my age level and then
[496.8s - 500.8s]  Whereas like Tim is like Tim is Tim. He's not like super
[501.8s - 503.8s]  Knowledge of a funny guy and then
[504.4s - 506.4s]  bills more of like a
[507.0s - 509.7s]  Old school baller. He's still has ball knowledge, but
[510.5s - 514.3s]  He's not on that same level. So I feel like Sully's like just right there raised kind of more
[515.0s - 516.8s]  Is later so like if
[517.9s - 520.4s]  Going more into the solution that I'm thinking about
[521.5s - 523.5s]  if you were to be
[523.5s - 526.6s]  Two ideas first if you're gonna be the mentee right and you have a mentor
[527.6s - 531.4s]  You'd prefer to have like a would you rather have a coach
[532.2s - 537.6s]  someone like Tim's a bill or just a like a coach that coaches in a high school
[538.6s - 542.6s]  Or a college or a like experienced player who played like
[543.1s - 548.2s]  High level high school basketball or college basketball or pro basketball or something like that
[550.2s - 554.0s]  What do you mean like mentor just like someone who someone like for example
[554.8s - 556.4s]  for me
[556.4s - 560.0s]  I like I have Jackie right he was a college basketball player
[560.5s - 564.1s]  And it's I trained with him, but also I talk with him like
[565.2s - 568.6s]  About what I'm going through in basketball like every week or every twice a week
[569.2s - 573.2s]  So like what I'm thinking is like use there like meetings
[574.8s - 577.3s]  bi-weekly meetings or weekly meetings with the mentor
[578.0s - 582.4s]  To help you talk through like the everything you're going through that week reflect
[583.3s - 590.4s]  And like how to work through it. So which I feel like from what you said it feels like Sully a Sully type. Yeah, would be
[593.6s - 595.6s]  Yeah
[596.0s - 599.8s]  And then also the last thing is
[601.0s - 606.3s]  Would you ever be open to like helping out? I'm not asking you like to volunteer
[606.3s - 608.3s]  I'm asking like as a player
[609.2s - 610.4s]  Do you think?
[610.8s - 613.1s]  Someone of your archetype would also be open to like
[614.8s - 621.9s]  Volunteering or not volunteer like mentoring younger kids in this sense because we are like high school players, right?
[622.4s - 624.0s]  so
[624.0s - 631.7s]  Think about like a fifth grade kid because I know I was going through this stuff still when I was younger even though I'm still going through it now all the confidence issues and all that
[632.4s - 635.8s]  Yeah, and they keep going on at every level. So do you think
[636.8s - 641.8s]  You'd be open to like yeah, I don't think you open to it. Yeah, yeah
[644.0s - 645.6s]  and
[645.6s - 653.3s]  Who and then last thing if last three things to wrap it up do you have any other ideas of who awesome the team might be like dealing with this stuff?
[654.0s - 656.0s]  currently I've talked to
[656.8s - 658.8s]  Daniel jet and Jacob so far
[660.4s - 663.7s]  Anyone else you think I should I don't want to ask someone like I feel like you're like
[664.6s - 670.3s]  To be honest like more mature than some people some people might like think of it as a joke, you know, yeah, so I don't know
[673.0s - 675.0s]  Sure, I would say
[678.0s - 680.3s]  I don't know to further mentorship. I would
[680.8s - 687.7s]  I don't know but I think I definitely think Matthew is going I think he definitely gets himself himself any kind of
[688.6s - 690.1s]  I just
[690.1s - 692.1s]  starts egoing and like starts
[693.5s - 697.3s]  I think he's also upset that he's on shave around frost. Yeah, but I
[698.4s - 701.6s]  don't want to speak for him, but I think he definitely yeah
[702.2s - 704.2s]  That's issues as well. Okay, Matthew
[705.6s - 707.6s]  um and
[707.7s - 710.6s]  Is it cool if I follow up with you after I talk to a few more people?
[711.3s - 716.8s]  Yes, fine. All right cool. Thank you. See you tomorrow
[717.6s - 719.6s]  Or Monday. Yeah, yeah
