Detailed Transcription of: sully.mp3
==================================================

[0.0s - 1.9s]  Thanks for calling me.
[495.8s - 499.9s]  Yeah, so his perspective is definitely like,
[499.9s - 504.2s]  he gets mad at himself, but also for upsetting his teammates.
[504.2s - 507.3s]  And I think he also said that, yeah,
[507.3s - 509.1s]  he's able to talk to you.
[509.1s - 510.8s]  And do you feel like players,
[510.8s - 512.8s]  I feel like players are able to,
[512.8s - 515.9s]  there's not much of a communication gap between you guys,
[515.9s - 518.0s]  between the players and you.
[519.4s - 521.0s]  Do they ever talk to you about like,
[521.0s - 524.2s]  role confusion at all, for minutes or anything like that?
[526.6s - 527.4s]  All the time.
[529.0s - 532.4s]  I don't know about, yeah, minutes is all the time.
[533.6s - 538.6s]  Role confusion a little bit, not like,
[539.1s - 542.5s]  I'll probably talk more about role confusion
[542.5s - 543.8s]  just in terms of like,
[545.5s - 549.7s]  but yeah, like Leo is obviously like,
[549.7s - 551.9s]  he was growing up as a,
[551.9s - 554.4s]  not a big man, but then he grew tall
[554.4s - 557.7s]  so we're making it kind of made into big hands.
[557.7s - 560.7s]  But also like kind of Joe,
[560.7s - 563.1s]  I talked to Joe a little about shooting more
[563.1s - 564.6s]  rather than just like,
[564.6s - 567.2s]  rather than just taking it to the basket,
[567.2s - 568.8s]  same with like,
[568.8s - 572.8s]  story shooting more and Daniel shooting more.
[572.8s - 574.8s]  Yeah.
[574.8s - 576.7s]  Yeah, I just see, there's got to be like,
[577.7s - 582.4s]  some just young confusion.
[582.4s - 584.2s]  Is that what it like?
[584.2s - 586.6s]  None of you guys, even the soft forest,
[586.6s - 589.7s]  like you guys, even me,
[589.7s - 590.5s]  I've seen on injured,
[590.5s - 594.2s]  but like no one really ever figures out
[594.2s - 597.1s]  or as a basketball player,
[597.1s - 598.9s]  like you're constantly changing,
[598.9s - 600.8s]  you're constantly getting injured
[600.8s - 603.2s]  or getting stronger or getting taller.
[603.2s - 604.8s]  Yeah, your family gets better.
[604.8s - 606.9s]  So you switched from a shooting guard
[606.9s - 608.0s]  to actually a point guard,
[609.0s - 612.7s]  like definitely over time,
[612.7s - 614.8s]  roles are gonna change in positions
[614.8s - 615.6s]  are gonna change.
[615.6s - 618.5s]  And I honestly think that's a good thing.
[618.5s - 620.6s]  And today's basketball world,
[620.6s - 622.8s]  because it is so positionless.
[622.8s - 626.3s]  And in terms of like, yeah, I agree.
[626.3s - 630.2s]  I feel like, yeah, like earlier,
[630.2s - 631.5s]  like I said, Leo was talking about,
[631.5s - 633.5s]  he had the transition was hard for him being
[633.5s - 636.0s]  like a small forward at three.
[636.0s - 639.5s]  And then now he's having to be a five, but yeah.
[639.5s - 642.5s]  And as you were growing up,
[642.5s - 647.6s]  did you ever have like issues with,
[649.1s - 651.3s]  but that and also did you ever have like a mentor
[651.3s - 652.8s]  that could help you through basketball?
[652.8s - 655.0s]  I know you have your older brother maybe
[655.0s - 657.0s]  or did you have like a coach specifically
[657.0s - 657.9s]  or something like that
[657.9s - 661.0s]  that you could just talk with personally for me,
[661.9s - 663.6s]  outside of like the UHS coaches,
[663.6s - 665.6s]  it's probably be Jackie.
[665.8s - 668.0s]  Yeah, yeah, definitely.
[669.6s - 673.0s]  That's I could face so many people.
[673.0s - 675.4s]  So I'll start with their role in future
[675.4s - 676.3s]  because that's easier.
[678.1s - 683.1s]  I was weirdly short, well not short,
[684.2s - 687.3s]  but like I wasn't tall until about six grade,
[687.3s - 689.7s]  but I was always a rebounder,
[689.7s - 693.4s]  which kind of I never really learned any point guard
[693.4s - 697.3s]  or shooting skills because I only wanted to rebound.
[697.3s - 698.3s]  Wow.
[698.3s - 699.1s]  Yeah.
[699.1s - 702.0s]  So until I actually got injured
[702.0s - 704.8s]  or kind of freshman year, I started to kind of
[704.8s - 706.9s]  shoot the ball a little more just because that was like,
[706.9s - 708.1s]  I grew up watching Steph.
[708.1s - 711.2s]  I was actually, we were on, we're on Frost.
[711.2s - 712.1s]  Yeah.
[712.1s - 714.8s]  Yeah, I grew up on, yeah, Frost.
[714.8s - 717.2s]  So like we were winning a lot of games on our line
[717.2s - 719.4s]  and I was just kind of trolling my coach like,
[719.4s - 722.6s]  oh, I can shoot, I cannot shoot back then.
[722.7s - 724.2s]  But that's what I got injured.
[724.2s - 729.7s]  I was like, oh, I'm probably not going to grow that much more.
[729.7s - 733.8s]  Like I'm six to, I might get to six five,
[733.8s - 736.6s]  but even that like I'd love to be a point guard.
[736.6s - 742.6s]  And that was my brother who actually told me to do that
[742.6s - 746.2s]  because he's a six six point guard to use like,
[746.2s - 749.3s]  I'm going to train you, we're going to be from point guards,
[749.3s - 751.2s]  like you're going to become a point guard shooter.
[751.2s - 758.7s]  And then see my PT is my physical therapist
[758.7s - 762.7s]  and is also my trainer for basketball, like my Jackie.
[762.7s - 764.6s]  Okay, yeah.
[764.6s - 768.8s]  And she's basically like the shot doctor is what you call it.
[769.8s - 775.4s]  So see basically fix my shot, my brother fixed my drivel.
[775.4s - 779.8s]  And over time, because I was injured like,
[781.7s - 785.0s]  I wasn't playing in games, so I was either training or
[786.2s - 788.7s]  just doing like I wasn't catching or anything.
[788.7s - 793.7s]  So I was training and I had a lot of mental issues just
[793.7s - 797.6s]  because I wasn't playing and like I had to figure out
[797.6s - 802.2s]  what I could just do with my life away from basketball.
[802.2s - 806.8s]  So I talked to my brother kind of had to figure that out too
[806.8s - 810.0s]  because he was out of college at that time
[810.0s - 811.8s]  and wasn't playing basketball anymore.
[812.8s - 817.7s]  And then same with my trainer, because he was like,
[817.7s - 820.4s]  yeah, we're going to try to get you to the MDA,
[820.4s - 824.3s]  like obviously all that talk, but then like that's the dream.
[824.3s - 827.4s]  You got to think realistically about everything else.
[827.4s - 831.0s]  So there was definitely a lot of people I can talk to
[831.9s - 836.5s]  kind of throughout my life that were from basketball.
[836.5s - 840.7s]  But I think over time sort of understood that like,
[840.7s - 845.4s]  yes, basketball was my life, but they needed to help you
[845.4s - 848.2s]  with everything else in my life more than they were helping me
[848.2s - 851.2s]  with basketball because I was going to help myself
[851.2s - 852.6s]  and I was like, basketball.
[852.6s - 854.2s]  Yeah, that's really good.
[854.2s - 855.2s]  Yeah.
[855.2s - 857.7s]  So last few things.
[857.7s - 859.2s]  Yeah.
[859.2s - 862.0s]  Do you think that yeah, it sounds like it'd be really,
[862.0s - 865.4s]  do you think like it would be helpful as a high school student
[865.4s - 866.5s]  to have something like that?
[866.5s - 870.0s]  I know you said it helped you a lot just in terms of like feedback
[870.0s - 871.6s]  for my idea.
[871.6s - 876.1s]  In my specifically, it would be like, it would be online.
[876.1s - 878.8s]  So it wouldn't be as much of like a trainer,
[878.8s - 880.6s]  like working on your skills.
[880.6s - 883.1s]  It would be more talking through the mental side of it.
[883.1s - 884.4s]  Like this, yeah.
[884.4s - 885.4s]  Yeah.
[885.4s - 889.7s]  I've had, I had a sports psychologist,
[889.7s - 891.8s]  first-moss sports psychologist.
[892.6s - 893.7s]  Okay.
[893.7s - 894.7s]  Years?
[894.7s - 897.2s]  I'm sure I kind of know it all that stuff.
[897.2s - 898.2s]  Yeah.
[898.2s - 899.2s]  Okay.
[899.2s - 904.7s]  And do you think there are any other people
[904.7s - 907.7s]  that you could like connect with that I could talk to
[907.7s - 911.5s]  or anyone that even I know already that you think I should talk
[911.5s - 916.1s]  to that like a player who struggles with this stuff
[916.1s - 918.9s]  or an experienced player?
[918.9s - 920.5s]  Yeah.
[920.5s - 929.3s]  I think I'll figure out, I'll think about who to connect to it.
[929.3s - 932.0s]  But I do think it's a great idea.
[932.0s - 943.4s]  I think there was the one law I would say is over time,
[943.4s - 948.9s]  I would at least stop thinking for myself if that makes sense.
[948.9s - 950.9s]  We were stopped what?
[950.9s - 953.9s]  Thinking for myself,
[953.9s - 956.5s]  like when I would talk to my sports psychologist,
[956.5s - 964.3s]  it felt like I was kind of just talking to him rather than
[964.3s - 967.4s]  thinking through stuff with him, like we were just,
[967.4s - 974.0s]  it was just like empty space, empty conversations.
[974.0s - 978.0s]  And that was, that's very different from like
[978.0s - 982.0s]  the brand of people who ended up being my mentors.
[982.0s - 983.0s]  Yeah.
[983.0s - 987.4s]  I really expected him to be my mentor, like all the people
[987.4s - 991.1s]  who I feel like the brand of mentors.
[991.1s - 992.1s]  Yeah.
[992.1s - 993.1s]  I know what I mean.
[993.1s - 994.1s]  Yeah.
[994.1s - 995.1s]  Yeah.
[995.1s - 996.1s]  Okay.
[996.1s - 997.1s]  That's really helpful.
[997.1s - 1004.1s]  I think even like, because some people just don't have that.
[1004.1s - 1007.0s]  Like I'm blessed that I was running my mentors.
[1007.0s - 1009.0s]  Like you have it, some people don't have that.
[1009.0s - 1014.8s]  So they do need to seek out some other form.
[1014.8s - 1018.1s]  So I think, yeah, I think it's a really good idea for your book.
[1018.1s - 1020.1s]  Because I talked to Tim about it.
[1020.1s - 1022.3s]  And you're like actually trying to put together a club
[1022.3s - 1023.8s]  and like the web site is.
[1023.8s - 1024.8s]  Yeah.
[1024.8s - 1025.8s]  He's here.
[1025.8s - 1030.0s]  Yeah, it's going to be like one component of like a website
[1030.0s - 1032.5s]  focused on sports mental health.
[1032.5s - 1035.2s]  And so like this is like the main part of it.
[1035.2s - 1036.7s]  And then also have like resources.
[1036.7s - 1039.0s]  But yeah, thank you.
[1039.0s - 1041.0s]  That's really helpful.
[1041.0s - 1042.0s]  Yeah.
[1042.0s - 1043.0s]  I just.
[1043.0s - 1051.0s]  I have a lot of people like, because you're also talking to
[1051.0s - 1053.4s]  main sports psychologists at UHS.
[1053.4s - 1054.4s]  Yeah.
[1054.4s - 1055.4s]  Okay.
[1055.4s - 1059.1s]  And then you should honestly like.
[1059.1s - 1065.1s]  I wouldn't do what we're doing with every single player, but I would like.
[1065.1s - 1068.0s]  Say something like a little comment about what you're doing.
[1068.0s - 1070.1s]  To like probably every single player.
[1070.1s - 1071.3s]  That's in the program.
[1071.3s - 1074.7s]  I would talk to all the coaches too.
[1074.7s - 1079.2s]  Because I obviously like I'm the young guy in the program.
[1079.2s - 1083.1s]  So I'm not going to be the guy who's going to connect you to everyone.
[1083.1s - 1086.9s]  The older the old heads are like if you get Randy Alex, all those guys.
[1086.9s - 1087.9s]  Yeah.
[1087.9s - 1089.8s]  And I'm sure they'll be one to help too.
[1089.8s - 1091.6s]  So yeah.
[1091.6s - 1096.4s]  I would I would talk to your friends first talk to the players.
[1096.4s - 1100.5s]  Talk to all those guys talk to if you can get out of the sports involved too.
[1100.5s - 1101.5s]  Maybe.
[1101.5s - 1102.5s]  Yeah.
[1102.5s - 1103.5s]  Thank you.
[1103.5s - 1104.5s]  Yeah.
[1104.5s - 1105.5s]  Of course.
[1105.5s - 1106.5s]  Yeah.
[1106.5s - 1107.5s]  I'll see you on Monday.
[1107.5s - 1108.5s]  See you on Monday.
[1108.5s - 1109.5s]  Yeah.
[1109.5s - 1110.5s]  Appreciate it.
[1110.5s - 1111.5s]  Good night.
[1111.5s - 1112.5s]  Yeah.
